"Buffer","Agency","Line(s)","Station Name","Year Opened","Latitude","Longitude"
"Existing Transit","North Indiana Commuter Transportation District","South Shore Line","Millenium Station at Randolph Street","Pre-2000",41.884167,-87.623056
"Existing Transit","North Indiana Commuter Transportation District","South Shore Line","Miller","Pre-2000",41.597985,-87.269792
"Existing Transit","North Indiana Commuter Transportation District","South Shore Line","Museum Campus/11th Street","Pre-2000",41.868611,-87.621389
"Existing Transit","North Indiana Commuter Transportation District","South Shore Line","Portage/Odgen Dunes","Pre-2000",41.617344,-87.186816
"Existing Transit","North Indiana Commuter Transportation District","South Shore Line","South Bend Airport","Pre-2000",41.700785,-86.311078
"Existing Transit","North Indiana Commuter Transportation District","South Shore Line","Van Buren Street","Pre-2000",41.876944,-87.623056
"Proposed Transit","Metra STAR Line","Commuter Rail","Arlington Heights Road","",42.039899999999996,-87.98339988
"Proposed Transit","Metra STAR Line","Commuter Rail","Aurora","",41.810699969999995,-88.22649996
"Proposed Transit","Metra STAR Line","Commuter Rail","Barrington Rd","",42.06670002,-88.14449988
"Proposed Transit","Metra STAR Line","Commuter Rail","Busse Road","",42.02510004,-87.95999988
"Proposed Transit","Metra STAR Line","Commuter Rail","Elmhurst Rd test","",42.01820001,-87.94050012
"Proposed Transit","Metra STAR Line","Commuter Rail","Golf Road","",42.05130003,-88.00660008
"Proposed Transit","Metra STAR Line","Commuter Rail","Ikea","",42.05819997,-88.03389996
"Proposed Transit","Metra STAR Line","Commuter Rail","Joliet","",41.581600019999996,-88.15290012
"Proposed Transit","Metra STAR Line","Commuter Rail","Naperville","",41.70349998,-88.23499991999999
"Proposed Transit","Metra STAR Line","Commuter Rail","North Avenue","",41.919399989999995,-88.23560004
"Proposed Transit","Metra STAR Line","Commuter Rail","Northwest Naperville","",41.776499969999996,-88.23229991999999
"Proposed Transit","Metra STAR Line","Commuter Rail","Plainfield","",41.62239999,-88.20979992
"Proposed Transit","Metra STAR Line","Commuter Rail","Prairie Stone/ Sears","",42.06660003,-88.21050011999999
"Proposed Transit","Metra STAR Line","Commuter Rail","Roselle Rd","",42.06380004,-88.07939999999999
"Proposed Transit","Metra STAR Line","Commuter Rail","Spaulding","",42.00290001,-88.23319991999999
"Proposed Transit","Metra STAR Line","Commuter Rail","Warrenville","",41.83610004,-88.21280016
"Proposed Transit","Metra STAR Line","Commuter Rail","West Chicago","",41.8833,-88.20920016
"Proposed Transit","METRA UP Northwest Extention","Commuter Rail","Johnsburg","",42.37579998,-88.28650008
"Proposed Transit","Orange Line Extension","Heavy Rail","Ford City Mall","",41.7559311,-87.7415706
"Proposed Transit","Orange Line Extension","Heavy Rail","Marquette Road","",41.77122021,-87.7372596
"Proposed Transit","Red Line Extension","Heavy Rail","103rd","",41.706117809999995,-87.63315444000001
"Proposed Transit","Red Line Extension","Heavy Rail","111th","",41.69256381,-87.63289703999999
"Proposed Transit","Red Line Extension","Heavy Rail","115th","",41.68407105,-87.62283323999999
"Proposed Transit","Red Line Extension","Heavy Rail","130th","",41.659905509999994,-87.59721275999999
"Proposed Transit","Yellow Line Extension","Heavy Rail","Oakton St.","",42.026268869999996,-87.74707319999999
"Proposed Transit","Yellow Line Extension","Heavy Rail","Old Orchard Mall","",42.06182229,-87.75438516
